Rk,Year,Date,Tm,,Opp,Rslt,Name,Gcar,Gtm,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,FIP,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,acLI,cWPA,RE24,Name-additional
14,1997,Jul 12,PIT,,HOU,W3-0,Francisco Córdova,77,89,GS-9,,7,9.0,0,0,0,2,10,0,1,2.61,,30,121,75,23,11,10,7,2,1,0,95,0,0,0,27,0,0,0,0,0,0,1.07,0.706,2.07,0.82%,4.76,cordofr01
,,,,,,,Ricardo Rincón*,31,89,10-GF(10),W,1,1.0,0,0,0,1,1,0,0,3.82,,4,18,9,4,2,2,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,2.41,0.143,4.67,0.17%,0.53,rincori01
15,1991,Sep 11,ATL,,SDP,W1-0,Kent Mercker*,84,139,GS-6,W,4,6.0,0,0,0,2,6,0,0,2.21,,20,82,49,14,12,7,5,0,1,0,76,0,0,0,17,0,0,0,0,0,0,.91,0.356,3.93,0.93%,2.91,merckke01
,,,,,,,Mark Wohlers,9,139,7-8,H,6,2.0,0,0,0,0,0,0,0,1.64,,6,15,13,2,2,1,5,0,2,0,,0,0,0,6,0,0,0,0,0,0,1.42,0.213,6.13,0.55%,0.97,wohlema01
,,,,,,,Alejandro Peña,383,139,9-GF,S,0,1.0,0,0,0,0,0,0,0,2.62,,4,11,10,4,1,2,2,0,0,0,,0,0,0,4,0,0,0,0,0,1,2.28,0.159,9.85,0.41%,0.49,penaal01
16,1991,Jul 13,BAL,@,OAK,W2-0,Bob Milacki,82,83,GS-6,W,9,6.0,0,0,0,3,3,0,0,4.01,,21,80,45,10,9,7,8,0,2,0,72,0,0,0,18,0,0,0,0,0,0,.82,0.352,.06,0.02%,2.81,milacbo01
,,,,,,,Mike Flanagan*,454,83,7-7,H,5,1.0,0,0,0,1,0,0,0,2.30,,4,12,6,1,0,2,1,0,0,0,,0,0,0,3,0,0,0,0,0,0,1.11,0.077,.08,0.00%,0.47,flanami01
,,,,,,,Mark Williamson,253,83,8-8,H,1,1.0,0,0,0,0,0,0,0,4.37,,3,17,9,2,2,2,1,0,1,0,,0,0,0,3,0,0,0,0,0,0,1.11,0.083,.08,0.00%,0.47,willima05
,,,,,,,Gregg Olson,176,83,9-GF,S,0,1.0,0,0,0,0,2,0,0,3.26,,3,12,8,1,2,1,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,1.13,0.084,.08,0.00%,0.47,olsongr01
17,1990,Apr 11,CAL,,SEA,W1-0,Mark Langston*,201,3,GS-7,W,99,7.0,0,0,0,4,3,0,0,0.00,,23,99,54,25,2,8,8,0,2,0,76,0,0,0,19,0,0,0,1,0,1,.96,0.431,1.31,0.35%,3.28,langsma01
