
Rank	Player (yrs, age)	Wins Above Replacement	PA	IP	Bats/Throws
 	Vladimir Guerrero+ (16)	59.5	9059		R
 	Mike Piazza+ (16)	59.5	7745		R

201.	Sherry Magee (16)	59.4	8560		R
202.	Mark Buehrle (16)	59.1	140	3283.1	L
 	Eddie Cicotte (14)	59.1	1232	3226.0	B
204.	Cole Hamels (15)	59.0	778	2698.0	L
 	Joe McGinnity+ (10)	59.0	1424	3441.1	R
 	Urban Shocker (13)	59.0	1050	2681.2	R
207.	Bret Saberhagen (16)	58.9	227	2562.2	R
208.	Dick Allen (15)	58.7	7315		R
 	Darrell Evans (21)	58.7	10737		L
 	Jack Quinn (23)	58.7	1513	3920.1	R
211.	Evan Longoria (16)	58.6	8206		R
 	Sammy Sosa (18)	58.6	9896		R
213.	Rube Waddell+ (13)	58.4	1139	2961.1	R
214.	Mordecai Brown+ (14)	58.2	1244	3172.1	B
 	John Olerud (17)	58.2	9063		L
216.	Chuck Finley (17)	57.9	59	3197.1	L
 	Tim Hudson (17)	57.9	710	3126.2	R
218.	Bobby Bonds (14)	57.8	8090		R
 	Manny Machado (13, 31)	57.8	7517		R
220.	Enos Slaughter+ (19)	57.6	9087		L
 	Willie Stargell+ (21)	57.6	9027		L
 	Joe Torre+ (18)	57.6	8802		R
223.	Billy Herman+ (15)	57.4	8641		R
224.	George Sisler+ (15)	57.2	9018	111.0	L
225.	Whitey Ford+ (16)	57.1	1208	3170.1	L
 	Frank Tanana (21)	57.1	64	4188.1	L
227.	Larry Doby+ (17)	56.8	6920		L
228.	Nolan Arenado (12, 33)	56.7	7078		R
229.	Bill Terry+ (14)	56.6	7111		L
230.	Will Clark (15)	56.5	8283		L
231.	Bill Dickey+ (17)	56.4	7065		L
 	Dave Stieb (16)	56.4	2	2895.1	R
233.	Johnny Damon (18)	56.3	10917		L
 	Mariano Rivera+ (19)	56.3	4	1283.2	R
235.	Robin Ventura (16)	56.1	8271	1.0	L
236.	Orel Hershiser (18)	56.0	949	3130.1	R
 	Jim Whitney (10)	56.0	2306	3496.1	R
238.	Luis Aparicio+ (18)	55.9	11231		R
 	Eppa Rixey+ (21)	55.9	1667	4494.2	R
240.	Jim Wynn (15)	55.8	8011		R
241.	Chet Lemon (16)	55.7	7874		R
242.	Max Carey+ (20)	55.6	10772		B
 	Joe Gordon+ (11)	55.6	6537		R
 	Bob Johnson (13)	55.6	8051		R
245.	Hank Greenberg+ (13)	55.5	6098		R
 	Stan Hack (16)	55.5	8509		L
 	Gabby Hartnett+ (20)	55.5	7300		R
 	George Uhle (17)	55.5	1513	3119.2	R
249.	Jeff Kent (17)	55.4	9537		R
 	Bobby Mathews (15)	55.4	2559	4956.0	R

251.	David Ortiz+ (20)	55.3	10091		L
 	Jack Powell (16)	55.3	1764	4389.0	R
253.	Joe Mauer+ (15)	55.2	7960		L
254.	Joe Sewell+ (14)	54.7	8333		L
255.	Kevin Appier (16)	54.5	90	2595.1	R
 	Joe Medwick+ (17)	54.5	8143		R
257.	José Cruz (19)	54.4	8931		L
258.	Willie Keeler+ (19)	54.3	9619		L
 	Sam Rice+ (20)	54.3	10260	39.1	L
260.	Vada Pinson (18)	54.2	10405		L
261.	Ian Kinsler (14)	54.1	8299	1.0	R
262.	Tony Pérez+ (23)	53.9	10861		R
263.	Ron Cey (17)	53.7	8344		R
264.	Harry Hooper+ (17)	53.6	10277	2.0	L
 	Jerry Koosman (19)	53.6	1052	3839.1	R
266.	Bucky Walters (19)	53.5	2150	3104.2	R
 	David Wells (21)	53.5	200	3439.0	L
268.	Wilbur Cooper (15)	53.4	1317	3480.0	R
 	Chris Sale (14, 35)	53.4	27	1958.1	L
270.	Jimmy Collins+ (14)	53.3	7460		R
 	Minnie Miñoso+ (20)	53.3	8233		R
272.	Billy Pierce (18)	53.2	1255	3306.2	L
 	Joe Tinker+ (15)	53.2	7167		R
274.	César Cedeño (17)	53.1	8133		R
 	Jack Clark (18)	53.1	8230		R
276.	Bert Campaneris (19)	53.0	9625	1.0	R
 	Dwight Gooden (16)	53.0	849	2800.2	R
278.	Burleigh Grimes+ (19)	52.9	1687	4180.0	R
279.	Jose Altuve (14, 34)	52.8	8042		R
280.	Elmer Flick+ (13)	52.7	6434		L
281.	Babe Adams (19)	52.6	1111	2995.1	L
 	Fred McGriff+ (19)	52.6	10174		L
283.	Bid McPhee+ (18)	52.5	9429		R
284.	Waite Hoyt+ (21)	52.4	1423	3762.1	R
 	José Ramírez (12, 31)	52.4	6086		B
286.	Jim O'Rourke+ (23)	52.3	9052	19.2	R
287.	Aaron Judge (9, 32)	52.2	4323		R
288.	Norm Cash (17)	52.0	7914		L
 	Larry Jackson (14)	52.0	1192	3262.2	R
290.	Lance Berkman (15)	51.9	7814		B
 	Dustin Pedroia (14)	51.9	6777		R
292.	Johan Santana (12)	51.7	279	2025.2	L
293.	Earl Averill+ (13)	51.6	7221		L
 	Luis Gonzalez (19)	51.6	10531		L
295.	Brian Downing (20)	51.5	9309		R
 	Toby Harrah (17)	51.5	8767		R
297.	Bobby Doerr+ (14)	51.4	8030		R
298.	Carl Mays (15)	51.3	1202	3021.1	L
 	Al Orth (15)	51.3	1792	3354.2	L
300.	Brian Giles (15)	51.1	7836		L

 	Bryce Harper (13, 31)	51.1	7085		L
 	Kirby Puckett+ (12)	51.1	7831		R
303.	Bob Elliott (15)	50.9	8207		R
 	Tony Phillips (18)	50.9	9110		B
305.	Torii Hunter (19)	50.7	9692		R
306.	Theodore Breitenstein (11)	50.6	1538	2973.1	L
 	Mark Teixeira (14)	50.6	8029		B
308.	Jason Giambi (20)	50.5	8908		L
 	Jim Kaat+ (25)	50.5	1363	4530.1	L
 	Kenny Rogers (20)	50.5	75	3302.2	L
311.	Tommy Bridges (16)	50.4	1144	2826.1	R
 	Joe Kelley+ (17)	50.4	8163		R
 	Silver King (10)	50.4	1477	3180.2	R
 	Ted Simmons+ (21)	50.4	9685		B
315.	Fred Lynn (17)	50.2	7923		L
316.	Orlando Cepeda+ (17)	50.1	8699		R
 	Mark Langston (16)	50.1	100	2962.2	R
318.	Dave Bancroft+ (16)	50.0	8250		B
 	Roy Oswalt (13)	50.0	796	2245.1	R
 	Wilbur Wood (17)	50.0	381	2684.0	R
321.	Dizzy Trout (15)	49.9	1048	2725.2	R
322.	Ellis Burks (18)	49.8	8177		R
 	Jamie Moyer (25)	49.8	502	4074.0	L
324.	Brett Butler (17)	49.7	9545		L
 	Mickey Cochrane+ (13)	49.7	6211		L
 	Félix Hernández (15)	49.7	59	2729.2	R
 	Eddie Rommel (13)	49.7	960	2557.0	R
328.	Francisco Lindor (10, 30)	49.6	6116		B
 	Bernie Williams (16)	49.6	9053		B
330.	Jimmy Sheckard (17)	49.5	9147		L
 	Turkey Stearnes+ (18)	49.5	4279	7.0	L
 	Willie Wells+ (21)	49.5	4471	0.2	R
333.	Nellie Fox+ (19)	49.4	10351		L
334.	Andrew McCutchen (16, 37)	49.3	9156		R
335.	David Wright (14)	49.2	6872		R
336.	Jimmy Key (15)	48.9	3	2591.2	R
 	Sandy Koufax+ (12)	48.9	858	2324.1	R
 	Dutch Leonard (20)	48.9	1161	3218.1	R
339.	Jim Fregosi (18)	48.7	7404		R
 	Dennis Martínez (23)	48.7	604	3999.2	R
341.	Doc White (13)	48.6	1532	3041.0	L
342.	Jack Stivetts (11)	48.5	2148	2887.2	R
343.	Buddy Myer (17)	48.4	8194		L
344.	Larry Gardner (17)	48.3	7714		L
 	Heinie Groh (16)	48.3	7040		R
346.	Bob Lemon+ (15)	48.2	1330	2850.0	L
 	Dolf Luque (20)	48.2	1192	3220.1	R
348.	Oscar Charleston+ (17)	48.1	3885	80.2	L
 	Kiki Cuyler+ (18)	48.1	8100		R
 	Heinie Manush+ (17)	48.1	8422		L

 	Bobby Veach (14)	48.1	7579	2.0	L
352.	Charles Bender+ (16)	48.0	1286	3017.0	R
 	Ralph Kiner+ (10)	48.0	6256		R
 	Mickey Lolich (16)	48.0	1017	3638.1	B
 	Wally Schang (19)	48.0	6440		B
356.	Buck Ewing+ (18)	47.9	5772	47.0	R
 	Joe Judge (20)	47.9	9188		L
358.	Ron Guidry (14)	47.8	0	2392.0	L
 	Bobo Newsom (20)	47.8	1442	3759.1	R
360.	Johnny Evers+ (18)	47.7	7230		L
 	Jim Rice+ (16)	47.7	9058		R
362.	Tony Lazzeri+ (14)	47.6	7314		R
 	Jimmy Rollins (17)	47.6	10240		B
 	Nap Rucker (10)	47.6	859	2375.1	R
365.	Devon White (17)	47.3	8080		B
366.	Curtis Granderson (16)	47.2	8306		L
 	George Mullin (14)	47.2	1701	3686.2	R
368.	Ryan Braun (14)	47.1	7340		R
 	Art Fletcher (13)	47.1	6044		R
 	Tommy Leach (19)	47.1	9075		R
 	Bob Shawkey (15)	47.1	1136	2937.0	R
 	Miguel Tejada (16)	47.1	9205		R
373.	Bill Foster+ (14)	47.0	623	1499.2	B
 	Jesse Tannehill (15)	47.0	1561	2759.1	B
 	Frank Viola (15)	47.0	210	2836.1	L
376.	Satchel Paige+ (22)	46.9	708	1751.2	R
377.	Gene Tenace (15)	46.8	5527		R
 	Hippo Vaughn (13)	46.8	1017	2730.0	B
 	Roy White (15)	46.8	7736		B
 	Hoyt Wilhelm+ (21)	46.8	493	2254.1	R
381.	Mike Cameron (17)	46.7	7884		R
 	Josh Donaldson (13)	46.7	5856	1.0	R
383.	Chuck Klein+ (17)	46.6	7172		L
 	Matt Williams (17)	46.6	7595		R
385.	Lave Cross (21)	46.5	9745		R
 	Ed Konetchy (15)	46.5	8675	16.2	R
 	Dale Murphy (18)	46.5	9041		R
388.	Mark Grace (16)	46.4	9290	1.0	L
389.	Murry Dickson (18)	46.3	1143	3052.1	R
390.	Bartolo Colón (21)	46.2	326	3461.2	R
 	Dizzy Dean+ (12)	46.2	766	1967.1	R
 	Vern Stephens (15)	46.2	7243		R
 	Willie Wilson (19)	46.2	8317		B
394.	Thurman Munson (11)	46.1	5905		R
395.	Frank Chance+ (17)	46.0	5138		R
 	King Kelly+ (16)	46.0	6457	45.2	R
397.	Edd Roush+ (18)	45.8	8157		L
 	Marcus Semien (12, 33)	45.8	6539		R
 	Lon Warneke (15)	45.8	1080	2782.1	R
400.	John McGraw+ (17)	45.7	4946		L

 	Rusty Staub (23)	45.7	11229		L
402.	Del Pratt (13)	45.6	7632		R
 	Javier Vázquez (14)	45.6	692	2840.0	R
 	Omar Vizquel (24)	45.6	12013		B
405.	Roger Peckinpaugh (17)	45.5	8396		R
 	Deacon White+ (20)	45.5	6973	10.0	L
407.	Larry French (14)	45.4	1198	3152.0	R
 	Augie Galan (16)	45.4	7007		B
409.	Lou Brock+ (19)	45.3	11240		L
 	Tony Fernández (17)	45.3	8793		B
 	Addie Joss+ (9)	45.3	919	2327.0	R
 	Brad Radke (12)	45.3	34	2451.0	R
413.	Jacob deGrom (11, 36)	45.2	423	1367.0	L
 	Adam Wainwright (18)	45.2	848	2668.1	R
415.	Vida Blue (17)	45.1	618	3343.1	B
 	Earle Combs+ (12)	45.1	6514		L
 	Larry Doyle (14)	45.1	7400		L
 	Claude Passeau (13)	45.1	1051	2719.2	R
 	Herb Pennock+ (22)	45.1	1427	3571.2	B
420.	Harry Stovey (14)	45.0	6848	9.1	R
