player_name,war,playerID
Jason Giambi,50.5,giambja01
Jim Kaat,50.5,kaatji01
Kenny Rogers,50.5,rogerke01
Tommy Bridges,50.4,bridgto01
Joe Kelley,50.4,kellejo01
Silver King,50.4,kingsi01
Ted Simmons,50.4,simmote01
Fred Lynn,50.2,lynnfr01
Orlando Cepeda,50.1,cepedor01
Mark Langston,50.1,langsma01
Dave Bancroft,50.0,bancrda01
Roy Oswalt,50.0,oswalro01
Wilbur Wood,50.0,woodwi01
Dizzy Trout,49.9,troutdi01
Ellis Burks,49.8,burksel01
Jamie Moyer,49.8,moyerja01
Brett Butler,49.7,butlebr01
Mickey Cochrane,49.7,cochrmi01
Felix Hernandez,49.7,hernafe02
Eddie Rommel,49.7,rommeed01
Francisco Lindor,49.6,lindofr01
Bernie Williams,49.6,willibe02
Jimmy Sheckard,49.5,sheckji01
Turkey Stearnes,49.5,steartu99
Willie Wells,49.5,wellswi99
Nellie Fox,49.4,foxne01
Andrew McCutchen,49.3,mccutan01
David Wright,49.2,wrighda03
Jimmy Key,48.9,keyji01
Sandy Koufax,48.9,koufasa01
Dutch Leonard,48.9,leonadu02
Jim Fregosi,48.7,fregoji01
Dennis Martinez,48.7,martide01
Doc White,48.6,whitedo01
Jack Stivetts,48.5,stiveja01
Buddy Myer,48.4,myerbu01
Larry Gardner,48.3,gardnla01
Heinie Groh,48.3,grohhe01
Bob Lemon,48.2,lemonbo01
Dolf Luque,48.2,luquedo01
Oscar Charleston,48.1,charlos99
Kiki Cuyler,48.1,cuyleki01
Heinie Manush,48.1,manushe01
Bobby Veach,48.1,veachbo01
Charles Bender,48.0,bendech01
Ralph Kiner,48.0,kinerra01
Mickey Lolich,48.0,lolicmi01
Wally Schang,48.0,schanwa01
Buck Ewing,47.9,ewingbu01
Joe Judge,47.9,judgejo01
Ron Guidry,47.8,guidrro01
Bobo Newsom,47.8,newsobo01
Johnny Evers,47.7,eversjo01
Jim Rice,47.7,riceji01
Tony Lazzeri,47.6,lazzeto01
Jimmy Rollins,47.6,rolliji01
Nap Rucker,47.6,ruckena01
Devon White,47.3,whitede03
Curtis Granderson,47.2,grandcu01
George Mullin,47.2,mullige01
Ryan Braun,47.1,braunry02
Art Fletcher,47.1,fletcar01
Tommy Leach,47.1,leachto01
Bob Shawkey,47.1,shawkbo01
Miguel Tejada,47.1,tejadmi01
Bill Foster,47.0,fostebi99
Jesse Tannehill,47.0,tanneje01
Frank Viola,47.0,violafr01
Satchel Paige,46.9,paigesa01
Gene Tenace,46.8,tenacge01
Hippo Vaughn,46.8,vaughhi01
Roy White,46.8,whitero01
Hoyt Wilhelm,46.8,wilheho01
Mike Cameron,46.7,camermi01
Josh Donaldson,46.7,donaljo02
Chuck Klein,46.6,kleinch01
Matt Williams,46.6,willima06
Lave Cross,46.5,crossla01
Ed Konetchy,46.5,koneted01
Dale Murphy,46.5,murphda05
Mark Grace,46.4,gracema01
Murry Dickson,46.3,dicksmu01
Bartolo Colon,46.2,colonba01
Dizzy Dean,46.2,deandi01
Vern Stephens,46.2,stephve01
Willie Wilson,46.2,wilsowi02
Thurman Munson,46.1,munsoth01
Frank Chance,46.0,chancfr01
King Kelly,46.0,kellyki01
Edd Roush,45.8,roushed01
Marcus Semien,45.8,semiema01
Lon Warneke,45.8,warnelo01
John McGraw,45.7,mcgrajo02
Rusty Staub,45.7,staubru01
Del Pratt,45.6,prattde01
Javier Vazquez,45.6,vazquja01
Omar Vizquel,45.6,vizquom01
Roger Peckinpaugh,45.5,peckiro01
Deacon White,45.5,whitede01
Larry French,45.4,frencla01
Augie Galan,45.4,galanau01
Lou Brock,45.3,brocklo01
Tony Fernandez,45.3,fernato01
Addie Joss,45.3,jossad01
Brad Radke,45.3,radkebr01
Jacob deGrom,45.2,degroja01
Adam Wainwright,45.2,wainwad01
Vida Blue,45.1,bluevi01
Earle Combs,45.1,combsea01
Larry Doyle,45.1,doylela01
Claude Passeau,45.1,passecl01
Herb Pennock,45.1,pennohe01
Harry Stovey,45.0,stoveha01
Rocky Colavito,44.9,colavro01
J.D. Drew,44.9,drewjd01
Paul Hines,44.9,hinespa01
Dixie Walker,44.9,walkedi02
Bill Donovan,44.8,donovbi02
Bill Freehan,44.8,freehbi01
Buster Posey,44.8,poseybu01
Red Schoendienst,44.8,schoere01
Jim Gilliam,44.7,gilliji01
Red Lucas,44.7,lucasre01
Steve Rogers,44.7,rogerst01
Giancarlo Stanton,44.7,stantmi03
Noodles Hahn,44.6,hahnno01
Chuck Knoblauch,44.6,knoblch01
Lonny Frey,44.5,freylo01
Matt Holliday,44.5,hollima01
Troy Tulowitzki,44.5,tulowtr01
Ben Zobrist,44.5,zobribe01
Cupid Childs,44.4,childcu01
Carlos Correa,44.4,correca01
Carlos Delgado,44.4,delgaca01
Sam Thompson,44.4,thompsa01
Nomar Garciaparra,44.3,garcino01
Brett Gardner,44.3,gardnbr01
Mel Harder,44.3,hardeme01
Steve Finley,44.2,finlest01
Travis Jackson,44.2,jackstr01
George Foster,44.1,fostege01
Rabbit Maranville,44.0,maranra01
Al Dark,43.9,darkal01
Carlos Zambrano,43.9,zambrca01
Gil Hodges,43.8,hodgegi01
Shohei Ohtani,43.8,ohtansh01
Jimmy Ryan,43.8,ryanji01
Fred Tenney,43.8,tennefr02
Al Oliver,43.7,oliveal01
Milt Pappas,43.7,pappami01
Bob Welch,43.7,welchbo01
Julio Franco,43.6,francju01
Charlie Keller,43.6,kellech01
Adrian Gonzalez,43.5,gonzaad01
Jon Lester,43.5,lestejo01
Jack Morris,43.5,morrija02
Fielder Jones,43.4,jonesfi01
Gerrit Cole,43.3,colege01
Curt Simmons,43.3,simmocu01
Dolph Camilli,43.2,camildo01
Cliff Lee,43.2,leecl02
Hugh Duffy,43.1,duffyhu01
Ned Garver,43.1,garvene01
Mel Stottlemyre,43.1,stottme02
Tony Oliva,43.0,olivato01
Roger Bresnahan,42.9,bresnro01
Amos Otis,42.8,otisam01
Ben Chapman,42.7,chapmbe01
Jack Chesbro,42.7,chesbja01
Sad Sam Jones,42.7,jonessa01
Jorge Posada,42.7,posadjo01
Ken Williams,42.7,willike02
Wally Berger,42.6,bergewa01
Elmer Smith,42.6,smithel02
Schoolboy Rowe,42.5,rowesc01
Jose Canseco,42.4,cansejo01
Lenny Dykstra,42.4,dykstle01
Davey Lopes,42.4,lopesda01
Don Mattingly,42.4,mattido01
Hughie Jennings,42.3,jennihu01
Felipe Alou,42.2,aloufe01
Harry Brecheen,42.2,brechha01
Phil Rizzuto,42.2,rizzuph01
Nelson Cruz,42.1,cruzne02
Gary Gaetti,42.1,gaettga01
Yadier Molina,42.1,molinya01
Darryl Strawberry,42.1,strawda01
John Candelaria,41.9,candejo01
Harlond Clift,41.9,cliftha01
Curt Flood,41.9,floodcu01
Bill Nicholson,41.9,nichobi01
Placido Polanco,41.9,polanpl01
Ken Singleton,41.9,singlke01
Christian Yelich,41.9,yelicch01
Roy Campanella,41.8,camparo01
Kid Gleason,41.8,gleaski01
Jason Heyward,41.8,heywaja01
Sam McDowell,41.8,mcdowsa01
Doug DeCinces,41.7,decindo01
Jason Kendall,41.7,kendaja01
Dick Bartell,41.6,bartedi01
Jim Perry,41.6,perryji01
Eddie Stanky,41.5,stanked01
Mike Tiernan,41.5,tiernmi01
Fernando Valenzuela,41.5,valenfe01
George Van Haltren,41.3,vanhage01
Andy Van Slyke,41.3,vanslan01
Jack Fournier,41.2,fournja01
Claude Osteen,41.2,osteecl01
Tom Candiotti,41.1,candito01
Frank Dwyer,41.1,dwyerfr01
Rich Gossage,41.1,gossari01
Mark Belanger,41.0,belanma01
Hardy Richardson,41.0,richaha01
Catfish Hunter,40.9,hunteca01
Camilo Pascual,40.9,pascuca02
Darrell Porter,40.9,porteda02
Xander Bogaerts,40.8,bogaexa01
Hooks Dauss,40.8,daussho01
Bob Friend,40.8,frienbo01
Mike Griffin,40.8,griffmi02
Sadie McMahon,40.8,mcmahsa01
Gil McDougald,40.7,mcdougi01
Roy Thomas,40.7,thomaro02
David Justice,40.6,justida01
Carney Lansford,40.5,lansfca01
Sam Leever,40.5,leevesa01
Tim Salmon,40.5,salmoti01
Cy Seymour,40.5,seymocy01
Jim Sundberg,40.5,sundbji01
Pete Browning,40.4,brownpe01
Virgil Trucks,40.4,truckvi01
Andy Messersmith,40.2,messean01
David Price,40.2,priceda01
Smoky Joe Wood,40.2,woodjo02
Albert Belle,40.1,belleal01
Dave Concepcion,40.1,conceda01
Dave Parker,40.1,parkeda01
Ryan Zimmerman,40.1,zimmery01
Al Leiter,40.0,leiteal01
Clyde Milan,40.0,milancl01
Tom Zachary,40.0,zachato01
Moises Alou,39.9,aloumo01
George Gore,39.9,gorege01
George Burns,39.8,burnsge02
Danny Darwin,39.8,darwida01
Anthony Rizzo,39.8,rizzoan01
Reggie Sanders,39.8,sandere02
Pink Hawley,39.7,hawlepi01
Alex Bregman,39.6,bregmal01
Tommy Henrich,39.6,henrito01
Maury Wills,39.6,willsma01
Rafael Furcal,39.5,furcara01
Babe Herman,39.5,hermaba01
Lance Parrish,39.5,parrila02
Jesse Barfield,39.4,barfije01
Donie Bush,39.4,bushdo01
George Cuppy,39.4,cuppyni01
Jake Daubert,39.4,daubeja01
Bill Dinneen,39.4,dinnebi01
Jon Matlack,39.4,matlajo01
Curt Davis,39.2,daviscu01
Jake Peavy,39.2,peavyja01
Carl Crawford,39.1,crawfca02
Howard Ehmke,39.1,ehmkeho01
Rico Petrocelli,39.1,petrori01
Boog Powell,39.1,powelbo02
Bill Hutchison,38.9,hutchbi01
Russell Martin,38.9,martiru01
Paul O'Neill,38.9,oneilpa01
Harold Baines,38.8,baineha01
Charlie Bennett,38.8,bennech01
Magglio Ordonez,38.8,ordonma01
Lefty Gomez,38.7,gomezle01
Juan Gonzalez,38.7,gonzaju03
Ed McKean,38.7,mckeaed01
Don Newcombe,38.7,newcodo01
Pie Traynor,38.7,traynpi01
Hack Wilson,38.7,wilsoha01
Kent Hrbek,38.6,hrbekke01
Starling Marte,38.6,martest01
Bill White,38.6,whitebi04
Lorenzo Cain,38.5,cainlo01
